"ID";"parameter_name";"par_value";"unit";"statistics";"SE";"min";"max";"SD";"day";"month";"sample_size";"observation_unit";"type of nest";"FirstAuthor";"Jahr";"Journal";"country";"Elevation";"Elevation_min";"Elevation_max";"mountain_name";"latGrad";"latMin";"lonGrad";"lonMin";"Methode";"size_studyarea";"begin_year";"end_year";"Bemerkung";"Feld1"
43;"start_incubation";;"date";"mean";;;;;4;6;5;"brood";"natural";"Catzeflis";"1975";"Nos Oiseaux";"France";2300;;;"Western Alps";46;2;6;58;"observation";;1973;1974;;
44;"hatching";;"date";"mean";;;;;18;6;5;"brood";"natural";"Catzeflis";"1975";"Nos Oiseaux";"France";2300;;;"Western Alps";46;2;6;58;"observation";;1973;1974;;
45;"fledging";;"date";"mean";;;;;6;7;5;"brood";"natural";"Catzeflis";"1975";"Nos Oiseaux";"France";2300;;;"Western Alps";46;2;6;58;"observation";;1973;1974;;
46;"nest_building";;"day";"range";;5.00;8.00;;;;;"brood";"on human construction";"Grangé";"2008";"Nos Oiseaux";"France";2115;1780;2250;"Pyrenees";42;54;0;8;"nest controls";2.12;2004;2007;;
47;"clutch_size";3.94;"number of eggs";"mean";0.13;3.00;5.00;0.54;;;18;"brood";;"Aichhorn";"1966";"Journal of Ornithology";"Austria";2500;;;"Eastern Alps";47;5;12;50;"ringing, nest controls";;1960;1966;;
48;"incubation_period";13.50;"day";"mean";;13.00;14.42;;;;18;"brood";;"Aichhorn";"1966";"Journal of Ornithology";"Austria";2500;;;"Eastern Alps";47;5;12;50;"ringing, nest controls";;1960;1966;;
49;"nestling_period";20.50;"day";"mean";;20.00;21.00;;;;18;"brood";;"Aichhorn";"1966";"Journal of Ornithology";"Austria";2500;;;"Eastern Alps";47;5;12;50;"ringing, nest controls";;1960;1966;;
50;"prop_second_brood";0.82;"probability";"estimate";0.11;;;;;;11;"brood";;"Aichhorn";"1966";"Journal of Ornithology";"Austria";2500;;;"Eastern Alps";47;5;12;50;"ringing, nest controls";;1960;1966;;
51;"inter_clutch_interval";2.00;"day";"mean";;;;;;;11;"brood";;"Aichhorn";"1966";"Journal of Ornithology";"Austria";2500;;;"Eastern Alps";47;5;12;50;"ringing, nest controls";;1960;1966;;
52;"clutch_size";3.91;"number of eggs";"mean";0.16;3.00;5.00;0.54;;;11;"brood";;"Heiniger";"1988";"Dissertation";"Switzerland";2200;1900;2550;"Central Alps";46;33;7;59;"ringing, nest controls";20.00;1981;1984;;
53;"incubation_period";13.10;"day";"mean";;12.00;15.00;;;;11;"brood";;"Heiniger";"1988";"Dissertation";"Switzerland";2200;1900;2550;"Central Alps";46;33;7;59;"ringing, nest controls";20.00;1981;1984;;
54;"apparent_survival_fleding_to_first_summer";0.12;"probability";"estimate";0.07;;;;;;101;"individuals";;"Strinella";"2020";"Scientific Reports";"Italy";2170;;;"Central Apennines";42;27;13;33;"mark-recapturing";;2003;2017;;
55;"aparent_annual_survival_ad_female";0.64;"probability";"estimate";0.14;;;;;;104;"individuals";;"Strinella";"2020";"Scientific Reports";"Italy";2170;;;"Central Apennines";42;27;13;33;"mark-recapturing";;2003;2017;;
56;"aparent_annual_survival_ad_male";0.52;"probability";"estimate";0.10;;;;;;157;"individuals";;"Strinella";"2020";"Scientific Reports";"Italy";2170;;;"Central Apennines";42;27;13;33;"mark-recapturing";;2003;2017;;
